id,filename,title,year,venue,doi,category,source_url
07,07-simplified-twin-ssb-direct-detection.pdf,"Simplified twin-single-sideband direct detection system separating left and right sideband signals using a digital signal processing algorithm instead of optical bandpass filters",2022,Optics Express,10.1364/OE.446108,Independent sideband,https://thz.usst.edu.cn/_upload/article/files/21/8a/07c7e47d417a91f133ed519c3514/571a0f2a-527a-40a8-b0f9-7ba7baec3168.pdf
08,08-kramers-kronig-coherent-receiver.pdf,"Kramers-Kronig coherent receiver",2016,Optica,10.1364/OPTICA.3.001220,KK and field recovery,https://pdfs.semanticscholar.org/319d/17fdf5ac87a6c854877e71acf3290e6b23e8.pdf
09,09-comparison-digital-ssbi-compensation.pdf,"Comparison of digital signal-signal beat interference compensation techniques in direct-detection subcarrier modulation systems",2016,Optics Express,10.1364/OE.24.029176,SSBI mitigation,https://discovery.ucl.ac.uk/id/eprint/1532888/1/Killey_opex_278827_paper_revised_submission_redlined.pdf
10,10-ssbi-mitigation-and-kk.pdf,"SSBI Mitigation and the Kramers-Kronig Scheme in Single-Sideband Direct-Detection Transmission With Receiver-Based Electronic Dispersion Compensation",2017,Journal of Lightwave Technology,10.1109/JLT.2017.2684298,SSBI mitigation,https://discovery.ucl.ac.uk/id/eprint/1557699/1/07883836.pdf
11,11-chip-brillouin-carrier-recovery.pdf,"Chip-based Brillouin processing for carrier recovery in coherent optical communications",2018,Optica,10.1364/OPTICA.4.001427,Self-coherent receiver,https://arxiv.org/pdf/1712.03142
12,12-carrier-assisted-differential-detection.pdf,"Carrier-assisted differential detection",2020,Light: Science & Applications,10.1038/s41377-020-0253-8,Field recovery,https://www.nature.com/articles/s41377-020-0253-8.pdf
13,13-enhanced-kk-single-sideband-receivers.pdf,"Enhanced Kramers-Kronig Single-Sideband Receivers",2020,Journal of Lightwave Technology,10.1109/JLT.2020.2985423,KK and field recovery,https://researchmgt.monash.edu/ws/files/370550218/313064851_oa.pdf
14,14-kramers-kronig-pam-transceiver.pdf,"Kramers Kronig PAM transceiver and two-sided polarization-multiplexed Kramers Kronig transceiver",2018,Optics Express,10.1364/OE.25.034574,KK and field recovery,https://arxiv.org/pdf/1711.02550
15,15-multi-constraint-gerchberg-saxton.pdf,"Multi-constraint Gerchberg-Saxton iteration algorithms for linearizing IM/DD transmission systems",2022,Optics Express,10.1364/OE.448826,Field recovery,https://pure.bangor.ac.uk/ws/portalfiles/portal/40957731/OE.pdf
16,16-integrated-dual-laser-terahertz-chip.pdf,"Integrated dual-laser photonic chip for high-purity carrier generation enabling ultrafast terahertz wireless communications",2022,Nature Communications,10.1038/s41467-022-29049-2,Photonics-aided THz,https://www.nature.com/articles/s41467-022-29049-2.pdf
